filterKey;filterName;filterValue;filterCode
filter_color;Farbe;silberfarben;f249410
filter_color;Farbe;braun;f546557
filter_color;Farbe;rot;f543392
filter_color;Farbe;rot;f546903
filter_color;Farbe;rosa;f546561
filter_color;Farbe;goldfarben;f118
filter_color;Farbe;weiß;f496345
filter_color;Farbe;weiß;f543401
filter_color;Farbe;weiß;f73
filter_color;Farbe;grau;f361570
filter_color;Farbe;gelb;f54
filter_color;Farbe;braun;f546906
filter_color;Farbe;rosegold;f461523
filter_color;Farbe;blau;f537919
filter_color;Farbe;grau;f79
filter_color;Farbe;rosa;f537897
filter_color;Farbe;rosa;f55
filter_color;Farbe;schwarz;f72
filter_color;Farbe;lila;f555205
filter_color;Farbe;grün;f525266
filter_color;Farbe;weiß;f435865
filter_color;Farbe;farblos;f1419
filter_color;Farbe;braun;f138
filter_color;Farbe;grün;f66
filter_color;Farbe;orange;f546560
filter_color;Farbe;schwarz;f497078
filter_color;Farbe;blau;f546556
filter_color;Farbe;grau;f543394
filter_color;Farbe;schwarz;f546559
filter_color;Farbe;weiß;f503972
filter_color;Farbe;gelb;f532144
filter_color;Farbe;weiß;f432324
filter_color;Farbe;lila;f198
filter_color;Farbe;pink;f4481
filter_color;Farbe;schwarz;f215927
filter_color;Farbe;blau;f532121
filter_color;Farbe;rot;f135
filter_color;Farbe;rot;f546555
filter_color;Farbe;grau;f537921
filter_color;Farbe;bunt;f53
filter_color;Farbe;weiß;f549946
filter_color;Farbe;braun;f543396
filter_color;Farbe;gelb;f533275
filter_color;Farbe;rosa;f532415
filter_color;Farbe;braun;f502045
filter_color;Farbe;blau;f52
filter_color;Farbe;blau;f543398
filter_color;Farbe;rot;f432323
filter_color;Farbe;grau;f546554
filter_color;Farbe;beige;f519
filter_color;Farbe;orange;f65
filter_color;Farbe;silberfarben;f176
filter_color;Farbe;schwarz;f546913
filter_color;Farbe;orange;f496344
filter_color;Farbe;grün;f546558
filter_color;Farbe;rot;f532071
