colorValue;colorMapped
blau;blau
braun;braun
bunt;bunt
coffee;braun
creme;beige
edelstahlfarben;silberfarben
gelb;gelb
goldfarben;goldfarben
grau;grau
grün;grün
kupfer;rosegold
lila;lila
natur;beige
orange;orange
pink;pink
rosa;rosa
rot;rot
schwarz;schwarz
silberfarben;silberfarben
transparent;farblos
weiß;weiß
 pale tuquoi;blau
a cut above;mission
abbey stone;grau
abelle;mission
aberdeen ant;blau
aberdeen mar;mission
aberdeen sch;schwarz
aberdeen sto;grau
absolute;mission
absolute blu;blau
abstract;mission
abyss grey;grau
abyssal trop;mission
acacia;mission
acai;lila
acai purple;lila
acbh;mission
ace red;rot
acerola;mission
achatgrau;grau
achatgruen;grün
acid apple;mission
acid blue;blau
acid plum;mission
acid wash;mission
acorn;mission
acqua;blau
acqua green;grün
acquamarina;blau
acryl;mission
active blue;blau
active green;grün
active grey;grau
active pink;pink
active red;rot
active yello;gelb
added by p;mission
adelaide str;mission
adelita;mission
admiral;mission
admiral blue;blau
admiral flor;mission
admiralsblau;blau
adobe;mission
adobe rose;rosa
adra;mission
adrenalin re;rot
adria;mission
adriablau;blau
adry light b;mission
adry mid blu;blau
advanced bla;blau
advanced blu;blau
advanced dar;mission
advanced gre;grau
advanced lig;mission
advanced med;mission
advanced rin;mission
advanced ult;mission
adventure gr;mission
aegean blue;blau
aero blue;blau
aero green;grün
aero pink;pink
aflame;mission
after dark;mission
after dark g;mission
after dark m;mission
after party;mission
afterglow;mission
agate;mission
agate green;grün
agate grey;grau
agave green;grün
agave print;mission
aged;mission
Ahorn;braun
ahorn perera;braun
ahornfarben;braun
ahornfb;braun
ahornholz;braun
air;mission
air blue;blau
air blue aop;blau
air blue che;blau
air blue den;blau
air blue dob;blau
air blue dot;blau
air blue kni;blau
air blue mel;blau
air blue pla;blau
air blue str;blau
airblue stru;blau
airforce blu;blau
airforce mel;mission
airy blue;blau
Ajour;mission
Akazie;braun
akazie dark;braun
akazie dunke;braun
akazie gebür;braun
akazie hell;braun
akazie natur;braun
akaziefarben;braun
akazienholz;braun
akiya print;mission
alabaster;mission
alabaster be;mission
alantic deep;mission
alaska;mission
alaska blue;blau
alaska cross;mission
alaskan blue;blau
alatweiß;weiß
alaunstick;mission
alba weiß;weiß
alcantara gu;mission
alchemy;mission
aledo blue;blau
aleen;mission
alert orange;orange
alge;grün
algiers blue;blau
alhambra;mission
alhambra gre;mission
aliana;mission
alina;mission
alkaline sil;mission
all black;schwarz
all day plum;mission
all night lo;mission
all over;mission
all over mid;mission
all over pri;mission
all over stp;mission
all schwarz;schwarz
all star blu;blau
all tied up;mission
all yours;mission
allover;mission
allover bati;mission
allover bedr;mission
allover bird;mission
allover feat;mission
allover hear;mission
allover hell;mission
allover klei;mission
allover natu;beige
allover pkte;mission
allover prin;mission
allover schw;schwarz
allover stri;mission
alloy;mission
alloy all ov;mission
alluminium;grau
alluminium b;grau
allure;mission
almond;beige
almond beige;beige
almond bloss;beige
almond brown;braun
almond emb;beige
almond white;beige
almondine;beige
almost black;schwarz
Aloe;grün
aloe green;grün
aloe green r;grün
aloe green w;grün
aloe meliert;grün
aloe vera;grün
aloha;mission
aloha sunset;mission
alpine;mission
alpine green;grün
alpine lake;blau
alpine purpl;lila
alpingrün;grün
alpinweiß;weiß
alps green a;grün
alps green s;grün
alps green w;grün
alt rosa;rosa
altei;braun
alteiche;braun
alteichefarb;braun
altgold;goldfarben
altgoldfarbe;goldfarben
altgrün;grün
altkupfer;rosegold
altkupferfar;rosegold
altmessimg;goldfarben
altmessing;goldfarben
altmessingfb;goldfarben
alton blue;blau
altona sand;beige
altpink;pink
altrosa;rosa
altrosa bunt;bunt
altrosa gebl;rosa
altrosa gemu;rosa
altrosa gepu;rosa
altrosa gest;rosa
altrosa glit;rosa
